wallet	avg_apr	total_pos_number	total_positions_earn_fees	total_fees_collected_usd	top_3_apr	top_10_apr	max_apr	min_apr	avg_hold_time
0x7410226C388EFD81f3c948aEa784D17f90194506	297.69	1	1	363.88	297.69	297.69	297.69	297.69	201.18
0xE174358b9F97eA990c8Ed7e3E4FD5544DB1b4E0C	258.17	1	1	37.81	258.17	258.17	258.17	258.17	19.09
0x0A9710dF5EFADbc5C1547783BDC7bF1E404B7f39	187.53	1	1	110.82	187.53	187.53	187.53	187.53	28.04
0x14FC80fdDe53d2ec26FaAbffAAb8a16000405004	186.63	2	2	123.37	186.71/186.54	186.71/186.54	186.71	186.54	28.23
0x843fa3Efefb7723dEB719AE459c9A18e097220ab	175.59	1	1	3.54	175.59	175.59	175.59	175.59	47.63
0x2A7fFde2839BcC69dC749F47cF7B75b8785D63C5	163.15	1	1	0.63	163.15	163.15	163.15	163.15	10.83
0x00C4EC7825CEbA17e3c53D82d4921fA50B1bd466	151.18	1	1	72.11	151.18	151.18	151.18	151.18	34.96
0x4858Bb648fFbE9DAf72f7eB2e9EC43836F6be7cB	149.94	1	1	8.97	149.94	149.94	149.94	149.94	19.11
0x92Af91e0B4043edeAEb67ED1F10c0cb3FdAc1c6c	149.62	1	1	4.18	149.62	149.62	149.62	149.62	29.39
0x39B1303eDF21d99C3f82B340C89fC16895d0694a	139.38	2	2	1412.27	221.29/57.48	221.29/57.48	221.29	57.48	103.47
0xB25eC62EB163Ec4AbC1562EA0b48599736a2E50a	135.17	1	1	2.92	135.17	135.17	135.17	135.17	103.84
0xF92473ad7a30A4fFB5B93B2644Aaaf15a0fDa881	133.87	3	3	9.15	285.78/73.07/42.75	285.78/73.07/42.75	285.78	42.75	22.02
0x7A317d3C925EF0fd924592049325C0A0a840Af86	129.42	2	2	76.29	230.61/28.22	230.61/28.22	230.61	28.22	39.03
0x8B5cF0Adc08a75C8597705332bAb1E4DBDE432cA	125.47	6	6	91.54	295.60/147.81/141.85	295.60/147.81/141.85/96.97/58.41/12.20	295.60	12.20	45.86
0xc6dE7b3D257B0A17EBA5E68C9c273559545a651e	124.20	1	1	8.02	124.20	124.20	124.20	124.20	211.71
0x6110C61ed8796178a39E9C0Fb25B6D99f6e17Ba0	116.04	1	1	0.69	116.04	116.04	116.04	116.04	5.55
0x4e14095f917E4D0C1F5B4973288479CDd56C248C	114.09	1	1	12.32	114.09	114.09	114.09	114.09	210.38
0x66362061da588aa914B4b88887252281913198c7	113.29	2	2	30.30	182.88/43.70	182.88/43.70	182.88	43.70	123.32
0xA0a0c8ED5d23aF4e3A502473e9d4B67B6Ac0Fa09	112.80	2	2	18.86	224.41/1.18	224.41/1.18	224.41	1.18	17.08
0x2876DFf0e3D421f74FD9aA9ECFcE843E39Cc6519	112.15	1	1	0.31	112.15	112.15	112.15	112.15	0.19
0xaFE886392f76736f88D5eB92197CcD2599535dFB	110.34	2	2	1.03	190.58/30.11	190.58/30.11	190.58	30.11	69.20
